parameter,name,unit,expected,low,high,distribution,reference,Criterion
N2O_emission_factor,,g N2O-N/g-N,0.021944444,0.004,0.06,triangular,Oshita et al. 2012,4.2
CH4_emission_factor,,g-CH4/g-feces solids,0.0026,0,0.0931,triangular,Oshita et al. 2012,4.2
NOx_emission_factor,,g NOx-N/g-N,0.147,0.062,0.194,triangular,Winter et al. 1999,4.2
NH3_emission_factor,,g NH3-N/g-N,0.045833333,0.009,0.109,triangular,Winter et al. 1999,4.2
SOx_emission_factor,,g SO2 -S/g-feces solids,0.000279429,0.000015,0.00062,triangular,"Cao et al. 2008, Fernandez-Lopez et al. 2015, assuming N/S mass ratio 3:1 ",3
HHV_feces_solid,,MJ/kg,24,,,constant,Onabanjo et al. 2016,3
feces_ash_content,,fraction,0.1456,0.12,0.25,triangular,"Onabanjo et al. 2016, Sahu et al. 2016",3
CO2_to_CO_ratio,,molar_ratio,5.934,3.35,8.1,triangular,Onabanjo et al. 2016,4.2
biofuel_to_solids,,g-biofuel/g-feces solids,1,0,2,uniform,Assumption,
wood_pellets_cost,,USD/kg,0.759,0.342,1.934,uniform,"https://www.lowes.com/pd/40-lb-Heating-Wood-Pellets-100-Natural-High-BTU-s-Low-Ash/5001965889?store=52&cm_mmc=shp-_-c-_-prd-_-sol-_-ggl-_-CRP_SHP_LIA_SOL_Online_A-B-_-5001965889-_-local-_-0-_-0&gad_source=1&gclid=Cj0KCQiA_9u5BhCUARIsABbMSPsVBgHS8ygm1ZgfsLw4lLX4uzRthllloEYsMgvbBoiVA0Qbekojas4aAqGpEALw_wcB&gclsrc=aw.ds
https://www.amazon.com/Camp-Chef-Competition-Blend-Pellets/dp/B01CQ2VSBO/ref=sr_1_3?crid=54BLJMDLU24O&dib=eyJ2IjoiMSJ9.w0rqH86rDKyV_MdHJ4ULIBDS1t0O_Tju0YI4o3_cJ_N_fc-NvUN7He8-KPRR_9GcQGPgVOkChwpJdo8os6qH7w9xZVaXCzA-EtwWccxbAAq8fwpyY1eTZUDyqnsDaVDzlsUgKQVOhR-1tRTHftCsR880qZzJheTVVMTr6I7hcqUMwO8PS5W256L4a-cZ0AcJQRtI_LLCOoYaMGoOhkIL9YedGK2SzAp6ivDHkTWOqXh4C_8LRe7uTrO1GpMdNmTfH6d-7Ctv0vxNSiBAKn071MeLKtss4vd_yoKKgYjZBKg.pbSambplxBL-Fi-lfBtQxUxq0_KOwOn7xDS7-hLNLfg&dib_tag=se&keywords=wood%2Bpellets&qid=1731689544&s=home-garden&sprefix=wood%2Bpellets%2Cgarden%2C132&sr=1-3&th=1
https://www.amazon.com/RecTec-Grills-Ultimate-Blend-Pellets/dp/B01DDI0WX0/ref=sr_1_5?crid=54BLJMDLU24O&dib=eyJ2IjoiMSJ9.w0rqH86rDKyV_MdHJ4ULIBDS1t0O_Tju0YI4o3_cJ_N_fc-NvUN7He8-KPRR_9GcQGPgVOkChwpJdo8os6qH7w9xZVaXCzA-EtwWccxbAAq8fwpyY1eTZUDyqnsDaVDzlsUgKQVOhR-1tRTHftCsR880qZzJheTVVMTr6I7hcqUMwO8PS5W256L4a-cZ0AcJQRtI_LLCOoYaMGoOhkIL9YedGK2SzAp6ivDHkTWOqXh4C_8LRe7uTrO1GpMdNmTfH6d-7Ctv0vxNSiBAKn071MeLKtss4vd_yoKKgYjZBKg.pbSambplxBL-Fi-lfBtQxUxq0_KOwOn7xDS7-hLNLfg&dib_tag=se&keywords=wood+pellets&qid=1731689544&s=home-garden&sprefix=wood+pellets%2Cgarden%2C132&sr=1-5
https://www.tractorsupply.com/tsc/product/wise-wood-wood-pellet-fuel-40-lb-bag-1115622?store=2525&cid=Google-Shopping-Sustain&utm_medium=Google&utm_source=Shopping&utm_content=Sustain&gad_source=1&gclid=Cj0KCQiA_9u5BhCUARIsABbMSPtvTLQKQrXSuEVfg3Ai-DAzcxodw4h6FqHtb2m9XBkjT1zf4Cj0YagaAgczEALw_wcB",4.2
combustor_operation_maintenance,,hr/yr,12,8.4,15.6,uniform,Assumption,3
combustion_temperature,,C,375,375,900,triangular,WO 2023/288328,3
wood_ash_content,,fraction,0.0062,0.0049,0.0074,triangular,https://www.nyserda.ny.gov/-/media/Project/Nyserda/Files/Publications/Research/Biomass-Solar-Wind/elemental-analysis-wood-fuel.pdf,1
wood_moisture_content,,fraction,0.059,0.054,0.0645,triangular,https://www.nyserda.ny.gov/-/media/Project/Nyserda/Files/Publications/Research/Biomass-Solar-Wind/elemental-analysis-wood-fuel.pdf,1
combustion_N_loss,,fraction,0.95,0.9,1,triangular,Jarosz-Krzemi_ska et al. 2020,1
combustion_P_loss,,fraction,0.13,0.05,0.16,triangular,Ali Hedayati et al. 2021,1
combustion_K_loss,,fraction,0.12,0.02,0.26,triangular,Ali Hedayati et al. 2021,1
combustion_C_loss,,fraction,0.56,0.24,0.72,triangular,Onabanjo et al. 2016,1
carbon_COD_ratio,,g C*g COD-1,0.35,0.25,0.4,triangular,Tchobanoglous et al.,1
material_replacement_cost,,fraction,0.04,0.02,0.06,uniform,GatesTechnology Portfolio Report 2022,1
wages,,USD/h,3.64,1.82,5.46,uniform,"Gates Scenario Specific Analysis 2022, for country specific data:  https://ilostat.ilo.org/data/",1
energy_required_to_evaporize_water,,kWh/kg,0.66,0.462,0.858,uniform,Estimated based on latent heat of evaporization of water 2260 # kJ kg^-1 and 5% heat loss,3
energy_recovery_efficiency,,fraction,0.4,0.1,0.7,uniform,Assumption,
air_preheating_unit_cost,,USD,1839,1287.3,2390.7,uniform,modified from Firelight budget,3
material_combustion_unit_cost,,USD,1465.2,1025.64,1904.76,uniform,modified from Firelight budget,3
metering_boiler_unit_cost,,USD,2120.1,1484.07,2756.13,uniform,modified from Firelight budget,3
pollution_control_cost,,USD,746,522.2,969.8,uniform,modified from Firelight budget,3
steel_weight,,kg,24.5,17.15,31.85,uniform,Assumption,3
aluminum_weight,,kg,5,3.5,6.5,uniform,Assumption,3
stainless_steel_weight,,kg,15,10.5,19.5,uniform,Assumption,3
stone_wool_weight,,kg,2,1.4,2.6,uniform,Assumption,3